Title,Description,Content Type,Genres
13 Reasons Why Beyond the Reasons,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",TV Show,"Crime TV Shows, Docuseries"
13TH,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",Movie,Documentaries
14 Minutes from Earth,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,Movie,Documentaries
15 August,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",Movie,"Comedies, Dramas, Independent Movies"
18 Presents,A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,Movie,"Dramas, Independent Movies, International Movies"
1898 Our Last Men in the Philippines,"While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.",Movie,"Dramas, International Movies"
1922,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",Movie,"Dramas, Thrillers"
1983,"In this dark alt-history thriller, a naÃ¯ve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
1994,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",TV Show,"Crime TV Shows, Docuseries, International TV Shows"
1BR,"Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.",Movie,"Horror Movies, Independent Movies, Thrillers"
2 Hearts,"In parallel love stories, the lives of college student Chris and wealthy businessman Jorge intersect in a profound twist of fate. Based on a true story.",Movie,"Dramas, Faith & Spirituality, Romantic Movies"
2 States,"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.",Movie,"Comedies, Dramas, International Movies"
2 Weeks in Lagos,A businessman returns home to Nigeria and falls in love with a friend's sister despite his familyâs plan for him to marry a politicianâs daughter.,Movie,"Dramas, International Movies, Romantic Movies"
2215,"This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",Movie,"Documentaries, International Movies, Sports Movies"
20 Minutes,"When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
2012,"When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos.",Movie,"Action & Adventure, Sci-Fi & Fantasy"
21 Again,"In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.",TV Show,"British TV Shows, Reality TV"
21 Thunder,"Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
22 July,"After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",Movie,"Dramas, Thrillers"
2359,"When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",Movie,"Horror Movies, International Movies"
25 Kille,"Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.",Movie,"Action & Adventure, Dramas, International Movies"
26 Years,"Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.",Movie,"Dramas, International Movies, Thrillers"
28 Moons,"When her fiancÃ© acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.",TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows"
3 Days to Kill,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him â if he can survive its side effects.,Movie,Action & Adventure
3 Generations,"When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",Movie,"Dramas, LGBTQ Movies"
3 Idiots,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",Movie,"Comedies, Dramas, International Movies"
3 Trken  ein Baby,The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.,Movie,"Comedies, International Movies"
3,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",TV Show,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
3022,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",Movie,"Independent Movies, Sci-Fi & Fantasy, Thrillers"
365 Days,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",Movie,"Dramas, International Movies, Romantic Movies"
37 Seconds,"Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.",Movie,"Dramas, International Movies"
3Below Tales of Arcadia,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",TV Show,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
40 Sticks,"When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer.",Movie,"International Movies, Thrillers"
44 Cats,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",TV Show,Kids' TV
45 rpm,"In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",TV Show,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
46,"A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",TV Show,"International TV Shows, TV Dramas, TV Mysteries"
48 Christmas Wishes,"When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish.",Movie,"Children & Family Movies, Comedies"
4L,"Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.",Movie,"Comedies, Dramas, Independent Movies"
4th Republic,"After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.",Movie,"Dramas, International Movies, Thrillers"
5 Flights Up,"A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.",Movie,"Comedies, Dramas, Independent Movies"
5 Star Christmas,"When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.",Movie,"Comedies, International Movies"
50M2,"Seeking to uncover the truth about his past, a henchman betrays someone close to him and assumes a new identity in a small Istanbul neighborhood.",TV Show,"International TV Shows, TV Dramas, TV Thrillers"
5Gang,"To keep the band together, Selly tries to earn money by making an appearance at the birthday party of a mobster's daughter â until he gets kidnapped.",Movie,"Comedies, International Movies"
6 Balloons,A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,Movie,"Dramas, Independent Movies"
6 Bullets,A former mercenary is lured back into the dangerous business of finding missing children when the daughter of a mixed martial arts champ is kidnapped.,Movie,Action & Adventure
6 Underground,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",Movie,"Action & Adventure, Dramas"
6 Years,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",Movie,"Dramas, Independent Movies, Romantic Movies"
60 Days In,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",TV Show,Reality TV
678,"This film sheds light on sexual harassment in Egypt, following the lives of three women from different social classes who have been subjected to it.",Movie,"Dramas, Independent Movies, International Movies"
7 aos,Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.,Movie,"Dramas, International Movies"
7 Days Out,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",TV Show,Docuseries
7 Khoon Maaf,"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men â only to find them flawed.",Movie,"Dramas, International Movies, Thrillers"
7 Yards The Chris Norton Story,"The true story of former college football player Chris Norton, who defied the odds after a devastating accident â with the woman he loves by his side.",Movie,Documentaries
719,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",Movie,"Dramas, International Movies"
72 Cutest Animals,This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.,TV Show,"Docuseries, International TV Shows, Science & Nature TV"
72 Dangerous Animals Asia,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",TV Show,"Docuseries, International TV Shows, Science & Nature TV"
72 Dangerous Animals Latin America,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",TV Show,"Docuseries, International TV Shows, Science & Nature TV"
72 Dangerous Places to Live,"Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.",TV Show,"Docuseries, International TV Shows, Science & Nature TV"
7SEEDS,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.",TV Show,"Anime Series, International TV Shows"
90 ML,Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.,Movie,"Comedies, International Movies, Music & Musicals"
93 Days,Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.,Movie,"Dramas, International Movies, Thrillers"
99 Songs,"Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",Movie,"Dramas, International Movies, Music & Musicals"
99 Songs Tamil,"Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",Movie,"Dramas, International Movies, Music & Musicals"
99 Songs Telugu,"Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",Movie,"Dramas, International Movies, Music & Musicals"
A 2nd Chance,"A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team.",Movie,"Children & Family Movies, Dramas, Sports Movies"
A 3 Minute Hug,This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.,Movie,"Documentaries, International Movies"
A Babysitters Guide to Monster Hunting,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",Movie,Children & Family Movies
A Beautiful Life,"After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",Movie,"Dramas, International Movies, Romantic Movies"
A Boy Name Flora A,A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who wonât pass on.,TV Show,"International TV Shows, TV Comedies, TV Dramas"
A California Christmas,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her familyâs land before Christmas.",Movie,"Comedies, Romantic Movies"
A Chaster Marriage,"Forced to wed his childhood friend, a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves.",Movie,"Comedies, International Movies, Romantic Movies"
A Choo,"Determined to win the heart of his childhood crush from orphanage, EJ becomes a boxer with superpowers and soon confronts a formidable villain.",Movie,"Action & Adventure, International Movies, Romantic Movies"
A Christmas Catch,A cop working undercover to trail a possible diamond thief gets caught in a tricky spot when she finds new clues â and new feelings â for the suspect.,Movie,"Dramas, Romantic Movies"
A Christmas Prince,Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.,Movie,"Children & Family Movies, Dramas, Romantic Movies"
A Christmas Prince The Royal Baby,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must save her family and kingdom by unwrapping a monarchy mystery.",Movie,"Children & Family Movies, Dramas, Romantic Movies"
A Christmas Prince The Royal Wedding,"A year after helping Richard secure the crown, Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol.",Movie,"Children & Family Movies, Dramas, Romantic Movies"
A Christmas Special Miraculous Tales of Ladybug  Cat Noir,Parisian teen Marinette transforms herself into superhero Ladybug to find her lonely secret crush Adrien when he runs away from home at Christmas.,Movie,Movies
A Cinderella Story Christmas Wish,"Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle.",Movie,"Children & Family Movies, Comedies, Music & Musicals"
A Classic Horror Story,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.",Movie,"Horror Movies, International Movies"
A Clockwork Orange,"In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy.",Movie,"Classic Movies, Cult Movies, Dramas"
A Fairly Odd Summer,"In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands.",Movie,"Children & Family Movies, Comedies"
A Fall from Grace,"When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry.",Movie,"Dramas, Thrillers"
A Family,"Taken in by the yakuza at a young age, Kenji swears allegiance to his old-school boss, pledging to adhere to the family code amid ever-changing times.",Movie,"Dramas, International Movies"
A Family Reunion Christmas,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.,Movie,"Children & Family Movies, Comedies"
A Fortunate Man,"A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin.",Movie,"Dramas, International Movies"
A Futile and Stupid Gesture,"In a brief life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.",Movie,Comedies
A Ghost Story,"Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open.",Movie,"Dramas, Independent Movies"
A Go Go Cory Carson Christmas,"When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone.",Movie,Children & Family Movies
A Go Go Cory Carson Halloween,"Cory, Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween! But are all the treats worth the trek to the spooky side of town?",Movie,Children & Family Movies
A Go Go Cory Carson Summer Camp,"Cory's spending the summer at Camp Friendship with his best friend, Freddie. But jealousy flares when Freddie brings his cousin Rosie along for the ride.",Movie,Children & Family Movies
A Grand Night In The Story of Aardman,"Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary.",Movie,Documentaries
A Haunted House 2,"Grieving after a tragedy, Malcolm tries to start fresh with his new girlfriend and her kids â but supernatural shenanigans find their way back to him.",Movie,"Comedies, Horror Movies"
A Heavy Heart,"Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder.",Movie,"Dramas, Independent Movies, International Movies"
A Home with A View,"When a neighbor blocks their view of the city with a commercial billboard, a Hong Kong family resorts to drastic, imaginative measures to take it down.",Movie,"Comedies, International Movies"
A House of Blocks,"Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.",TV Show,"International TV Shows, TV Dramas, TV Horror"
A Kid from Coney Island,"From gifted athlete to professional NBA hooper, Coney Island's Stephon Marbury navigates the pressures, pitfalls and peaks of his basketball journey.",Movie,"Documentaries, Sports Movies"
A Korean Odyssey,A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows"
A Land Imagined,A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game.,Movie,"Dramas, International Movies"
A Life of Speed The Juan Manuel Fangio Story,"Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s â before protective gear or safety features were used.",Movie,"Documentaries, International Movies, Sports Movies"
A Lion in the House,Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.,TV Show,TV Shows
A Little Chaos,"A willful young woman is hired to design a garden at Versailles for Louis XIV. Soon, she's ensnared in political and romantic complications.",Movie,"Dramas, Independent Movies, International Movies"
A Little Help with Carol Burnett,"Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty.",TV Show,"Stand-Up Comedy & Talk Shows, TV Comedies"
A Little Thing Called First Love,A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery.,TV Show,"International TV Shows, Romantic TV Shows, Teen TV Shows"
A Love So Beautiful,"The ups and downs of school, family and growing up test the affection between a budding artist and her handsome but indifferent classmate and neighbor.",TV Show,"International TV Shows, Romantic TV Shows, TV Dramas"
A Love So Beautiful,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",TV Show,"International TV Shows, Romantic TV Shows, TV Comedies"
A Love Song for Latasha,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.,Movie,Documentaries
A Love Story,"Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn.",Movie,"Dramas, International Movies, Romantic Movies"
A Man For The Week End,A career-focused woman convinces a colleague to pose as her boyfriend for a family visit â and must face a meddling mom and some unexpected feelings.,Movie,"Comedies, Dramas, International Movies"
A Mighty Team,"When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth.",Movie,"Comedies, International Movies, Sports Movies"
A Monster Calls,"Overwhelmed by his motherâs illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster.",Movie,"Dramas, Sci-Fi & Fantasy"
A New York Christmas Wedding,"As her wedding nears, a bride-to-be is visited by an angel who reveals what could have been if she'd followed feelings for her childhood best friend.",Movie,"Dramas, LGBTQ Movies, Romantic Movies"
A Noble Intention,"In 1888 Amsterdam, a headstrong violin maker finds himself immersed in peril and tragedy after challenging businessmen who threaten his community.",Movie,"Dramas, International Movies"
A Perfect Crime,"This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification.",TV Show,"Crime TV Shows, Docuseries, International TV Shows"
A Perfect Day For Arsenide,"An eclectic group of people encounters zany situations in this anthology of surreal, offbeat tales from Hong Kong. Based on Mr. Pizza's hit novel.",TV Show,"Classic & Cult TV, Crime TV Shows, International TV Shows"
A Perfect Ending,"After confessing an unusual secret, a repressed wife â prompted by her friends â decides to explore her sexuality with a high-priced call girl.",Movie,"Dramas, Independent Movies, LGBTQ Movies"
A Perfect Fit,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancÃ©.",Movie,"Comedies, Dramas, International Movies"
A Place in the Stars,A young lawyer who has information about counterfeit drug trafficking in Nigeria must choose between betraying his conscience or revealing the truth.,Movie,"Dramas, International Movies, Thrillers"
A Plastic Ocean,"When he discovers the world's oceans brimming with plastic waste, a documentary filmmaker investigates the pollution's environmental impacts.",Movie,Documentaries
A Princess for Christmas,"At the invitation of a relative, young Jules Daly travels with her niece and nephew to a castle in Europe, where Jules falls for a dashing prince.",Movie,"Children & Family Movies, Dramas, Romantic Movies"
A Private War,"In this biopic, war correspondent Marie Colvin risks it all to bring back the truth from the frontlines, despite the toll it takes on her own life.",Movie,"Dramas, Independent Movies"
A Queen Is Born,Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.,TV Show,"International TV Shows, Reality TV"
A Remarkable Tale,"The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them.",Movie,"Comedies, International Movies"
A Second Chance,"Following their storybook wedding, Popoy and Basha find married life â and starting a business together â more challenging than they ever imagined.",Movie,"Dramas, International Movies, Romantic Movies"
A Secret Love,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",Movie,"Documentaries, LGBTQ Movies"
A Series of Unfortunate Events,"The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",TV Show,"Kids' TV, TV Action & Adventure, TV Comedies"
A Shaun the Sheep Movie Farmageddon,Shaun and the flock race to help an adorable alien find her way home after her ship crash-lands near Mossy Bottom Farm and sparks a UFO frenzy.,Movie,"Children & Family Movies, Comedies"
A Silent Voice,A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right.,Movie,"Anime Features, International Movies"
A Single Man,This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.,Movie,"Dramas, Independent Movies, LGBTQ Movies"
A Sort of Family,An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt.,Movie,"Dramas, International Movies, Thrillers"
A Stoning in Fulham County,"After reckless teens kill an Amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community.",Movie,Dramas
A StoryBots Christmas,"Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus â only to find he's missing.",Movie,"Children & Family Movies, Comedies"
A Sun,A family reckons with the aftermath of their younger son's incarceration and a greater misfortune that follows.,Movie,"Dramas, Independent Movies, International Movies"
A Taiwanese Tale of Two Cities,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",TV Show,"International TV Shows, TV Dramas"
A Tale of Two Kitchens,"Mexico City restaurant star Gabriela CÃ¡mara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture.",Movie,"Documentaries, International Movies"
A Thousand Goodnights,"To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.",TV Show,"International TV Shows, TV Dramas"
A Touch of Green,"Amid the turmoil of China's civil war, families of Kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds.",TV Show,"International TV Shows, TV Dramas"
A Trash Truck Christmas,"When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.",Movie,Children & Family Movies
A Trip to Jamaica,A newly engaged couple's romantic vacation in Jamaica turns into a mischievous adventure that tests their union in wild and unexpected ways.,Movie,"Comedies, International Movies"
A truthful Mother,"Facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a childrenâs book and a Kannada folk song.",Movie,Children & Family Movies
A Twelve Year Night,Future Uruguayan president JosÃ© Mujica and his fellow Tupamaro political prisoners fight to survive 12 years of solitary confinement and torture.,Movie,"Dramas, International Movies"
A Very Country Christmas,"When an unfulfilled country music star hides out in his hometown, he meets a budding interior designer who finds her way into his heart.",Movie,"Music & Musicals, Romantic Movies"
A Very Murray Christmas,"Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows.",Movie,"Comedies, Music & Musicals"
A Very Secret Service,"At the height of the Cold War in 1960, AndrÃ© Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",TV Show,"International TV Shows, TV Comedies"
A Very Special Love,"After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned.",Movie,"International Movies, Romantic Movies"
A Way Back Home,"After receiving a terminal diagnosis, a man fakes an accident to spare his familyâs grief and must deal with the fallout of his deception.",Movie,"Dramas, International Movies"
A Week Away,"In this uplifting musical, a troubled teen takes a leap of faith by attending summer camp â and unexpectedly finds love, friends and a place to belong.",Movie,"Children & Family Movies, Faith & Spirituality, Music & Musicals"
A Whisker Away,"A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.",Movie,"Anime Features, Children & Family Movies, International Movies"
A Witches Ball,"Beatrix can't wait to be inducted as a witch, but an unfortunate incident threatens to take her pending title away if she doesn't act fast.",Movie,Children & Family Movies
A Year In Space,Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.,TV Show,"Docuseries, International TV Shows, Science & Nature TV"
A Yellow Bird,"In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard.",Movie,"Dramas, Independent Movies, International Movies"
AICO,Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.,TV Show,"Anime Series, International TV Shows"
Aagey Se Right,"A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it.",Movie,"Comedies, International Movies, Music & Musicals"
Aakhri Adaalat,An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,Movie,"Action & Adventure, International Movies"
